Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
baruti-tindrer-extrait-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/tindrer-extrait-de-parfum-baruti-30-ml-perfume-lounge-3.jpg?v=1555511330,3,Tindrer-extrait de parfum-Baruti-30 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-l-humaniste-eau-de-parfum,L'Humaniste,"



<p><span>Een heerlijke lichtvoetige geur; vrolijk, transparant en geraffineerd.</span></p>
<p>L'Humaniste is een spannende en stijlvolle cologne met citroen en bergamot. De roze peper, nootmuskaat en tijm geven dit parfum een kruidige, onverwachte maar erg fijne middentoon.</p>
<p>De humanist die de inspiratie was voor deze geur was de 16de eeuwse schrijver, Francois Rabelais, een van de voorourders van de prestigieuze Frapin familie. </p>
<h2>Ingrediënten</h2>citroen, bergamot, roze peper, zwarte peper, nootmuskaat, tijm, gin, eikenmos, tonkaboon


",Frapin,eau de parfum,"aromatic, Familie:citrus, Familie:woody, ingr:bergamot, ingr:musk, ingr:peper, ingr:tonka, Merk:Frapin, met sample, ProductBackground:background-citrus-light, ProductBackground:background-woody-light, Related:citrus, Related:woody, Soort:eau de parfum, woody",true,Inhoud,100 ml,,,,,FP10004,100.0,shopify,6,deny,manual,125.00,,true,true,3760170200422,https://cdn.shopify.com/s/files/1/1323/9877/products/lhumaniste-eau-de-parfum-frapin-100-ml-perfume-lounge.jpg?v=1555511313,1,L'Humaniste-eau de parfum-Frapin-100 ml-Perfume Lounge,false,Frapin - LHumaniste - Perfume Lounge,"Ontdek de bijzondere parfums uit de Frapin-collectie via de webshop of in onze Haute Parfumerie in Amsterdam. Voor 15u besteld, dezelfde werkdag verstuurd.",gezondheid en persoonlijke verzorging > persoonlijke verzorging > cosmetica > parfum,,,,,,,,,,,,,,g,,56.82,active
frapin-l-humaniste-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/lhumaniste-eau-de-parfum-frapin-100-ml-perfume-lounge-2.jpg?v=1555511313,2,L'Humaniste-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-l-humaniste-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/lhumaniste-eau-de-parfum-frapin-100-ml-perfume-lounge-3.jpg?v=1555511313,3,L'Humaniste-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-l-humaniste-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/lhumaniste-eau-de-parfum-frapin-100-ml-perfume-lounge-4.jpg?v=1555511313,4,L'Humaniste-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-l-humaniste-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/lhumaniste-eau-de-parfum-frapin-100-ml-perfume-lounge-5.jpg?v=1555511313,5,L'Humaniste-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-1270-eau-de-parfum,1270,"<p><span>1270, een zachte gourmand met een 'boozy' accent, heerlijke houtsoorten en vanille in de basis, yummm!</span></p>
<p>Een terugkeer naar de oorsprong van het Franse cognac huis Frapin, 1270 is een eerbetoon aan de familie Frapin en is het jaartal dat de familie begon met het maken van cognac.</p>
<p>Deze geur is gecreëerd door parfumeur Sidonie Lancesseur. Zij vertaalde het rijke en wellustige van cognac in een warme kleurrijke eau de parfum, op basis van kostbare en zeldzame essences. </p>
<h2>Ingrediënten</h2>
gekonfijte sinaasappel, hazelnoot, rozijnen, pruim, koffie, cacao, tonkaboon, linde, wijnranken, specerijen, peper, gaiac hout, witte honing, vanille",Frapin,eau de parfum,"Familie:fruity, Familie:gourmand, fruity, generic_channable, gourmand, ingr:chocolade, ingr:peper, ingr:tonka, ingr:vanille, Merk:Frapin, met sample, ProductBackground:background-fruity-light, ProductBackground:background-gourmand-light, Related:fruity, Related:gourmand, Soort:eau de parfum",true,Inhoud,100 ml,,,,,FP10002,100.0,shopify,2,continue,manual,125.00,,true,true,3760170200392,https://cdn.shopify.com/s/files/1/1323/9877/products/1270-eau-de-parfum-frapin-100-ml-perfume-lounge.jpg?v=1555511290,1,1270-eau de parfum-Frapin-100 ml-Perfume Lounge,false,Frapin 1270 - Perfume Lounge,"Ontdek de bijzondere parfums uit de Frapin-collectie via de webshop of in onze Haute Parfumerie in Amsterdam. Voor 15u besteld, dezelfde werkdag verstuurd.",gezondheid en persoonlijke verzorging > persoonlijke verzorging > cosmetica > parfum,,,,,,,,,,,,,,g,,56.82,active
frapin-1270-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/1270-eau-de-parfum-frapin-100-ml-perfume-lounge-2.jpg?v=1555511290,2,1270-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-1270-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/1270-eau-de-parfum-frapin-100-ml-perfume-lounge-3.jpg?v=1555511290,3,1270-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-1270-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/1270-eau-de-parfum-frapin-100-ml-perfume-lounge-4.jpg?v=1555511290,4,1270-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-1270-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/1270-eau-de-parfum-frapin-100-ml-perfume-lounge-5.jpg?v=1555511290,5,1270-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
baruti-nooud-extrait-de-parfum,Nooud,"


<p><span>Weelderig, intens en sexy. Ruikt naar oudh, maar bevat geen enkele druppel van dit ingredient en dat is de naakte waarheid...</span><br><br>Luca Turin bejubelt Nooud zijn blog Perfume is Love: ""The composition that made him notorious among the niche aficion is a bravura piece called Nooud, which is a very convincing oud reconstruction containing 'he swears' no oud at all, hence the name.</p>
<p>The first thing you notice when spraying his line onto strips is how each fragrance jumps out at you with a distinct form even before you bring the paper to your nostrils.""</p>
<p>﻿Diep &amp; donker, houtachtig &amp; harsig, rokerig &amp; aards, origineel &amp; intrigerend.</p>
<h2>Ingrediënten</h2>NO oud<br><strong></strong>


",Baruti,extrait de parfum,"Familie:leather, ingr:oud, leather, Merk:Baruti, met sample, ProductBackground:background-leer-med, Related:baruti, Related:leather, Soort:extrait de parfum",true,Inhoud,30 ml,,,,,BA10006,30.0,shopify,4,deny,manual,120.00,,true,true,8718503040066,https://cdn.shopify.com/s/files/1/1323/9877/products/nooud-extrait-de-parfum-baruti-30-ml-perfume-lounge.jpg?v=1555511267,1,Nooud-extrait de parfum-Baruti-30 ml-Perfume Lounge,false,Baruti - Nooud Extrait de Parfum - Perfume Lounge,"Ontdek Nooud van Baruti, van de hand van Nederlands-Griekse parfumeur, Spyros Drosopoulos. Bestel zijn bijzondere creaties online of bezoek onze Haute Parfumerie in Amsterdam.",gezondheid en persoonlijke verzorging > persoonlijke verzorging > cosmetica > parfum,,,,,,,,,,,,,,g,,45.00,active
baruti-nooud-extrait-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/nooud-extrait-de-parfum-baruti-30-ml-perfume-lounge-2.jpg?v=1555511267,2,Nooud-extrait de parfum-Baruti-30 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
baruti-nooud-extrait-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/nooud-extrait-de-parfum-baruti-30-ml-perfume-lounge-3.jpg?v=1555511267,3,Nooud-extrait de parfum-Baruti-30 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
baruti-nooud-extrait-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/nooud-extrait-de-parfum-baruti-30-ml-perfume-lounge-4.png?v=1555511267,4,Nooud-extrait de parfum-Baruti-30 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-speakeasy-eau-de-parfum,Speakeasy,"


<p>Speak easy, "" zachtjes praten"" waren de fluisterende woorden van klanten in de clandestiene bars in Amerika, een algemeen aangenomen uitdrukking die de bars onder het regime van 'The Prohibition' - het verbod op alcohol- gebruikten. Speakeasy roept herinneringen op van de glamour van de 'film noir', de periode waar het gevaar steeds op de loer lag tijdens feesten. De glamour van een tropische, zeer chique bar waar Hemingway het pad zou hebben kunnen kruisen met een van zijn helden in de film ""To Have and Have Not"" - bewasemde glazen, clubzetels, gesmokkelde Cubaanse sigaren die gesavoureerd worden door gentlemen bootleggers vermengd met de klamme lucht die verspreidt wordt door de houten, geverniste ventilatoren.<br>En vermits vandaag de dag alcohol geen verboden geneugte meer is, maar tabak dit wel is, behoort de nieuwe creatie van Frapin tot deze zeldzame geurfamilie.</p>
<h2>Ingrediënten</h2>extract van rum uit Martinique, Italiaanse appelsien, Braziliaanse limoen, munt, geranium, leder, ciste absolu, labdanum absolu, styrax, tabak, immortelle, tonkaboon, musk


",Frapin,eau de parfum,"Familie:leather, generic_channable, ingr:geranium, ingr:labdanum, ingr:leer, ingr:limoen, ingr:musk, ingr:tabak, ingr:tonka, leather, Merk:Frapin, met sample, ProductBackground:background-leer-med, Related:leather, Soort:eau de parfum",true,Inhoud,100 ml,,,,,FP10006,100.0,shopify,2,deny,manual,125.00,,true,true,3760170200705,https://cdn.shopify.com/s/files/1/1323/9877/products/speakeasy-eau-de-parfum-frapin-100-ml-perfume-lounge.jpg?v=1555511246,1,Speakeasy-eau de parfum-Frapin-100 ml-Perfume Lounge,false,Frapin Speakeasy 100ml EdP - Annindriya Perfume Lounge,"Ontdek de bijzondere parfums uit de Frapin-collectie via de webshop of in onze Haute Parfumerie in Amsterdam. Voor 15u besteld, dezelfde werkdag verstuurd.",gezondheid en persoonlijke verzorging > persoonlijke verzorging > cosmetica > parfum,,,,,,,,,,,,,,g,,56.82,active
frapin-speakeasy-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/speakeasy-eau-de-parfum-frapin-100-ml-perfume-lounge-2.jpg?v=1555511246,2,Speakeasy-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-speakeasy-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/speakeasy-eau-de-parfum-frapin-100-ml-perfume-lounge-3.jpg?v=1555511246,3,Speakeasy-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-speakeasy-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/speakeasy-eau-de-parfum-frapin-100-ml-perfume-lounge-4.jpg?v=1555511246,4,Speakeasy-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
frapin-speakeasy-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/speakeasy-eau-de-parfum-frapin-100-ml-perfume-lounge-5.jpg?v=1555511246,5,Speakeasy-eau de parfum-Frapin-100 ml-Perfume Lounge,,,,,,,,,,,,,,,,,,,,,
