Handle,Title,Vendor,Type,Collection,Tag,Price,Image
phaedon-rue-des-lilas,Rue des Lilas,Phaedon Paris,eau de parfum,"lente, lelietje-van-dalen, geranium-collection, op-en-top-vrouwelijk, phaedon-paris, parfums, eau-de-parfum, france, all-collections, totaal-overzicht, flexify","Familie:floral, ingr:amandel, ingr:musk, ingr:roos, ingr:seringen, longevity-middel, Merk:Phaedon Paris, met sample, Related:floral, soliflore, Soort:eau de parfum",30.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600RuedeLilas-Phaedon-100mlnieuw.jpg?v=1594902403
caron-aimez-moi-comme-je-suis,Aimez-Moi Comme Je Suis,Caron,eau de toilette,"jean-jacques-perfumes-perfume-lounge, nieuw-binnen, caron, parfums, eau-de-toilettes, france, all-collections, totaal-overzicht, flexify","ingr:tabak, ingr:vetiver, longevity-middel, Merk:Caron, met sample, nieuw, Soort:eau de toilette",34.72,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600125mlCaronAimezMoiCommejesuisLR.jpg?v=1596630770
nicolai-paris-vetyver,Vetyver,Nicolai Paris,eau de toilette,", nicolai-paris, parfums, eau-de-toilettes, france, all-collections, totaal-overzicht, patricia-de-nicolai-collection, flexify","Familie:woody, Familie:woodyoriental, ingr:musk, ingr:peper, ingr:petitgrain, ingr:tonka, ingr:vanille, ingr:vetiver, longevity-middel, Merk:Nicolai Paris, met sample, ProductBackground:background-woody-light, Related:Vetiver, Related:woody, Soort:eau de toilette",16.73,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600NicolaiVetyver100mlbottlePerfumeLounge.jpg?v=1597415747
the-zoo-smile-shine,Smile & Shine,THE ZOO,eau de parfum,"verfrissend-optimistisch, parfums, eau-de-parfum, the-zoo, usa-and-canada, totaal-overzicht, flexify","Familie:citrus, ingr:limoen, ingr:narcis, longevity-middel, Merk:THE ZOO, met sample, mood:happy, ProductBackground:background-citrus-med, Related:citrus, Soort:eau de parfum",53.31,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600Smile_ShineTheZooLR.jpg?v=1599750228
nasomatto-fantomas,Fantomas,Nasomatto,extrait de parfum,", alessandro-gualtieri, nasomatto, parfums, parfums-extrait-de-parfums, italy, all-collections, totaal-overzicht, flexify","longevity-lang, Merk:Nasomatto, met sample, ProductBackground:background-minimal-light, Soort:extrait de parfum",62.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600FantomasNasomattofrontbottle30ml.jpg?v=1601976842
iris-lumiere-ballonverstuiver,Iris Lumiere ballonverstuiver,Shalini,extrait de parfum,"the-ultimate-gifts-for-your-beloved-ones, pure-luxe, romantisch-lieflijk, elegant-feminine-dandy, parfums, parfums-extrait-de-parfums, usa-and-canada, shalini, totaal-overzicht, maurice-roucel-collection, flexify","Familie:floral, ingr:iris, longevity-lang, Merk:Shalini, Related:floral, Related:IrisLumiere, Related:ShaliniBrand, Soort:extrait de parfum",264.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600ShaliniIrisLumiere50mlbulbatomizer.jpg?v=1601976357
olfactive-studio-rose-shot-100-ml,Rose Shot - Sepia,Olfactive Studio,extrait de parfum,", olfactive-studio, parfums, geurfamilie-bloemig, parfums-extrait-de-parfums, france, totaal-overzicht, flexify","Familie:floral, floral, ingr:bergamot, ingr:cederhout, ingr:peper, ingr:roos, longevity-lang, Merk:Olfactive Studio, met sample, ProductBackground:background-floral-med, Related:floral, Soort:extrait de parfum",100.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600RoseShotSepiaOS100ml.jpg?v=1602258050
olfactive-studio-violet-shot-100-ml,Violet Shot - Sepia,Olfactive Studio,extrait de parfum,"viooltjes, olfactive-studio, parfums, geurfamilie-bloemig, parfums-extrait-de-parfums, france, totaal-overzicht, patchouli, flexify","Familie:floral, floral, ingr:labdanum, ingr:leer, ingr:patchouli, ingr:peper, ingr:roos, ingr:vanille, longevity-lang, Merk:Olfactive Studio, met sample, ProductBackground:background-floral-med, Related:floral, Soort:extrait de parfum",100.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600VioletShotOS100ml.jpg?v=1602257976
olfactive-studio-iris-shot-100-ml,Iris Shot - Sepia,Olfactive Studio,extrait de parfum,"peper, olfactive-studio, parfums, geurfamilie-bloemig, parfums-extrait-de-parfums, france, totaal-overzicht, amber, flexify","Familie:floral, Familie:oriental, floral, ingr:aldehyde, ingr:amandel, ingr:amber, ingr:iris, ingr:peper, ingr:vetiver, longevity-lang, Merk:Olfactive Studio, met sample, ProductBackground:background-floral-med, Related:floral, Soort:extrait de parfum",100.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600IrisShotSepiaOS100ml.jpg?v=1602258225
rose-ancienne-xxl-geurstokjes,Rose Ancienne XXL reed diffuser,Nicolai Paris,geurstokjes,"roos-collection, huis-parfums, nicolai-paris, geurfamilie-bloemig, france, totaal-overzicht, patricia-de-nicolai-collection, flexify, geurstokjes","ARCHIVED, Familie:floral, floral, ingr:geranium, ingr:musk, ingr:peper, ingr:roos, Merk:Nicolai Paris, ProductBackground:background-floral-med, Related:floral, Related:geurstokjes, Soort:geurstokjes",33.45,https://cdn.shopify.com/s/files/1/1323/9877/products/XXLgeurstokjesNicolai.jpg?v=1601636808
phaedon-oriental-mint,Oriental Mint,Phaedon Paris,eau de toilette,"musk, tabak, phaedon-paris, parfums, geurfamilie-aromatisch-kruidig, eau-de-toilettes, france, all-collections, totaal-overzicht, flexify","aromatic, Familie:fougere, Familie:oriental, ingr:cederhout, ingr:geranium, ingr:musk, ingr:peper, ingr:roos, ingr:tabak, longevity-middel, Merk:Phaedon Paris, met sample, ProductBackground:background-fougere-light, Related:aromatic, Related:fougere, Soort:eau de toilette",30.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600OrientalMintPhaedon100ml.jpg?v=1602254619
phaedon-leau-de-phaedon,L'eau de Phaedon,Phaedon Paris,eau de toilette,"jasmijn, neroli-oranjebloesem, black-collection, phaedon-paris, parfums, geurfamilie-bloemig, eau-de-toilettes, france, all-collections, totaal-overzicht, neroli-collection, flexify","Familie:floral, floral, ingr:jasmijn, ingr:kokos, ingr:musk, ingr:neroli, ingr:oranjebloesem, longevity-middel, Merk:Phaedon Paris, met sample, mood:comfy, ProductBackground:background-floral-med, Related:floral, Soort:eau de toilette",30.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600_l_Eau_de_Phaedon_100ml.jpg?v=1603812396
phaedon-antigua,Antigua,Phaedon Paris,eau de parfum,"bergamot, musk, grapefruit, cederhout, op-en-top-vrouwelijk, phaedon-paris, parfums, geurfamilie-woody, geurfamilie-fris-citrus, geurfamilie-fruitig, ontdek-de-frisse-geurfamilies, eau-de-parfum, france, totaal-overzicht, patchouli, flexify","citrus, Familie:citrus, Familie:fruity, Familie:woody, fruity, ingr:bergamot, ingr:cederhout, ingr:limoen, ingr:musk, ingr:patchouli, ingr:roos, ingr:vanille, ingr:vetiver, ingr:vijg, longevity-middel, Merk:Phaedon Paris, met sample, ProductBackground:background-citrus-med, ProductBackground:background-fruity-light, ProductBackground:background-woody-light, Related:citrus, Related:fruity, Related:woody, Soort:eau de parfum, woody",38.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600AntiguaPhaedon100ml.jpg?v=1602058391
phaedon-bapteme-ambre,Bapteme Ambre,Phaedon Paris,eau de parfum,"kaneel, geranium, wild-verleidelijk, verleidelijk-en-sensueel, amber-collection, phaedon-paris, parfums, eau-de-parfum, france, totaal-overzicht, amber, flexify","Familie:floriental, Familie:softoriental, ingr:amber, ingr:geranium, ingr:roos, longevity-middel, Merk:Phaedon Paris, met sample, ProductBackground:background-floriental-med.png, Soort:eau de parfum",38.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600BaptemeAmbrePhaedon100ml.jpg?v=1602058565
phaedon-ciel-immobile,Ciel Immobile,Phaedon Paris,eau de parfum,"vijg-fig, leer, phaedon-paris, parfums, geurfamilie-bloemig, geurfamilie-leer, eau-de-parfum, france, all-collections, totaal-overzicht, flexify","Familie:floral, Familie:leather, floral, ingr:leer, ingr:vijg, leather, leather floral, leer, longevity-middel, Merk:Phaedon Paris, met sample, ProductBackground:background-floral-med, ProductBackground:background-leer-med, Related:floral, Related:leather, Soort:eau de parfum",38.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600CielImmobilePhaedon100ml.jpg?v=1602058718
phaedon-ilanguara,Ilanguara,Phaedon Paris,eau de parfum,"vijg-fig, leer, phaedon-paris, parfums, eau-de-parfum, france, totaal-overzicht, geurfamilie-gourmand, flexify, bestsellers-jong","bestseller jong, bestsellers jong, Familie:gourmand, gourmand, ingr:amandel, ingr:cederhout, ingr:kokos, ingr:vetiver, longevity-middel, Merk:Phaedon Paris, met sample, ProductBackground:background-gourmand-light, Related:gourmand, Soort:eau de parfum",38.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600IlanguaraPhaedon100ml.jpg?v=1602148057
phaedon-pluie-de-soleil,Pluie de Soleil,Phaedon Paris,eau de toilette,"vijg-fig, leer, phaedon-paris, parfums, geurfamilie-fruitig, ontdek-de-frisse-geurfamilies, eau-de-toilettes, france, all-collections, totaal-overzicht, flexify","Familie:fruity, fruity, ingr:bergamot, ingr:musk, ingr:sandelhout, ingr:vanille, longevity-middel, Merk:Phaedon Paris, met sample, ProductBackground:background-fruity-light, Related:fruity, Soort:eau de toilette",38.00,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600PluieSoleilPhaedon100ml.jpg?v=1602149078
